source_bq,source_model,extension_ids,cohort_start_pst,d7_due_pst,d14_due_pst,d28_due_pst,current_stage,next_action,link_level_schedule
BQ020,A218,1601939712249|1601939590957|1601939625613,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周三链均无有效样本；D7与源款比较弹力带闭合结构表达
BQ021,K6212,1601939606858|1601939709217|1601939739115,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,R1第35周3曝光0点击；D7与4.35%CTR源款比较来源词和全黑等商品卡
BQ022,A2208,1601939641581|1601939659468|1601939709218,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,三扩展链颜色修复均approved/Y并完成公开页逐色终验；Black White/Black White Stripe/Light Grey与实物一致；D7只用改版后窗口整组判断
BQ023,A505,1601939722180|1601939616754|1601939752005,2026-09-14,2026-09-21,2026-09-28,2026-10-12,MIXED_D7_D14,D7评估W1/R1；O1保护标题与Brown双鞋M1到D14并准备Slip-On结构承接,1601939752005=16曝光1点击1访问0询盘
BQ024,A830,1601939691342|1601939684371|1601939691340,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7_SPLIT,第35周三链接均无有效样本；R1维持原日历；W1和O1以公开终验日2026-09-15分别重置监测周期,R1:09-14|09-21|09-28|10-12;W1:09-15|09-22|09-29|10-13;O1:09-15|09-22|09-29|10-13
BQ025,A1689,1601939751016|1601939612707|1601939733108,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,W1第35周1曝光；比较源款店内访问与扩展链承接并检查进口采购词与Casual泛词是否收窄
BQ026,T5828,1601939745065|1601939725201|1601939714238,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周三链接均无有效样本；D7拉取同口径曝光点击访问询盘及来源词
BQ027,K6116,1601939616762|1601939692338|1601939703288,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,W1/R1第35周共7曝光0点击；D7优先比较来源词标题前段和首图；单链接达10曝光仍0点击才重构
BQ028,7212,1601939720204|1601939625627|1601939705262,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,O1第35周1美国直接访客；R1为1曝光；D7区分搜索推荐外部入口并与源款比较转化路径
BQ029,A025,1601939749045|1601939607770|1601939721228,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周W1为1曝光0点击；R1/O1无有效样本；D7按高帮针织套脚独立意图评估
BQ030,A811,1601939672381|1601939679363|1601939615744,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周R1为3曝光0点击；W1/O1无有效样本；D7按童鞋学校鞋采购意图独立评估
BQ031,ZX2116,1601939693331|1601939667426|1601939754004,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,O1第35周1美国直接访客；D7区分外部入口并与7.69%CTR宽鞋头大码源款比较
BQ032,ZX2212,1601939651515|1601939751023|1601939722196,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周三链接均无有效样本；D7按Regular Fit大码针织系带采购意图评估
