source_order,source_bq,source_artno,link_code,model_number,buyer_intent,keyword_cluster,title,primary_color,hero_angle,hero_source_anchor,main_image_roles,detail_focus,source_main_count,source_detail_count,source_color_count,facts_source,asset_folder,image_status,cdn_status,excel_status
4,BQ004,A502,BQ004-O1,BQ004-O1 / A502,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Breathable Knit Casual Walking Shoes Model A502 Factory Supply for Brand Buyers,Grey Black,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ004_A502\01_主图\03_blue.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",6,6,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ004_A502\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ004_A502,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
5,BQ005,A503,BQ005-W1,BQ005-W1 / A503,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Casual Walking Shoes Model A503 for Importers and Wholesalers,Black,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ005_A503\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",6,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ005_A503\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ005_A503,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
5,BQ005,A503,BQ005-R1,BQ005-R1 / A503,Casual Walking Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Casual Walking Shoes Model A503 Casual Walking Collection for Online Sellers,Black,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ005_A503\01_主图\02_colors.jpg,hero | differentiator | construction | use scene | color | order support,"importers, wholesalers and online sellers, use scenario, visible comfort structure, color collection",6,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ005_A503\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ005_A503,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
5,BQ005,A503,BQ005-O1,BQ005-O1 / A503,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Breathable Knit Casual Walking Shoes Model A503 Factory Supply for Brand Buyers,Black,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ005_A503\01_主图\03_white.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",6,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ005_A503\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ005_A503,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
6,BQ006,M8811,BQ006-W1,BQ006-W1 / M8811,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Casual Walking Shoes Model M8811 for Importers and Wholesalers,Black White,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ006_M8811\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",7,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ006_M8811\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ006_M8811,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
6,BQ006,M8811,BQ006-R1,BQ006-R1 / M8811,Casual Walking Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Casual Walking Shoes Model M8811 Casual Walking Collection for Online Sellers,Black White,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ006_M8811\01_主图\02_white.jpg,hero | differentiator | construction | use scene | color | order support,"importers, wholesalers and online sellers, use scenario, visible comfort structure, color collection",7,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ006_M8811\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ006_M8811,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
6,BQ006,M8811,BQ006-O1,BQ006-O1 / M8811,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Breathable Knit Casual Walking Shoes Model M8811 Factory Supply for Brand Buyers,Black White,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ006_M8811\01_主图\03_grey.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",7,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ006_M8811\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ006_M8811,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
7,BQ007,L0017,BQ007-W1,BQ007-W1 / L0017,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Casual Walking Shoes Model L0017 for Importers and Wholesalers,White,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ007_L0017\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",5,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ007_L0017\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ007_L0017,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
7,BQ007,L0017,BQ007-R1,BQ007-R1 / L0017,Casual Walking Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Casual Walking Shoes Model L0017 Casual Walking Collection for Online Sellers,White,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ007_L0017\01_主图\02_black.jpg,hero | differentiator | construction | use scene | color | order support,"importers, wholesalers and online sellers, use scenario, visible comfort structure, color collection",5,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ007_L0017\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ007_L0017,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
7,BQ007,L0017,BQ007-O1,BQ007-O1 / L0017,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Breathable Knit Casual Walking Shoes Model L0017 Factory Supply for Brand Buyers,White,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ007_L0017\01_主图\03_blackw.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",5,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ007_L0017\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ007_L0017,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
8,BQ008,L1009,BQ008-W1,BQ008-W1 / L1009,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Casual Walking Shoes Model L1009 for Importers and Wholesalers,Black White,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ008_L1009\01_主图\00_main_clean.png,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",10,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ008_L1009\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ008_L1009,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
8,BQ008,L1009,BQ008-R1,BQ008-R1 / L1009,Casual Walking Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Casual Walking Shoes Model L1009 Casual Walking Collection for Online Sellers,Black Sole,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ008_L1009\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"importers, wholesalers and online sellers, use scenario, visible comfort structure, color collection",10,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ008_L1009\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ008_L1009,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
8,BQ008,L1009,BQ008-O1,BQ008-O1 / L1009,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Breathable Knit Casual Walking Shoes Model L1009 Factory Supply for Brand Buyers,Black White,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ008_L1009\01_主图\02_greeng.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",10,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ008_L1009\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ008_L1009,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
9,BQ009,L1026,BQ009-W1,BQ009-W1 / L1026,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Casual Walking Shoes Model L1026 for Importers and Wholesalers,Black White,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ009_L1026\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",5,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ009_L1026\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ009_L1026,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
9,BQ009,L1026,BQ009-R1,BQ009-R1 / L1026,Casual Walking Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Casual Walking Shoes Model L1026 Casual Walking Collection for Online Sellers,Black White,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ009_L1026\01_主图\02_orange.jpg,hero | differentiator | construction | use scene | color | order support,"importers, wholesalers and online sellers, use scenario, visible comfort structure, color collection",5,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ009_L1026\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ009_L1026,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
9,BQ009,L1026,BQ009-O1,BQ009-O1 / L1026,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Breathable Knit Casual Walking Shoes Model L1026 Factory Supply for Brand Buyers,Black White,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ009_L1026\01_主图\03_mint.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",5,5,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ009_L1026\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ009_L1026,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
10,BQ010,R1601,BQ010-W1,BQ010-W1 / R1601,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Casual Walking Shoes Model R1601 for Importers and Wholesalers,White Sole Black,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ010_R1601\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",5,7,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ010_R1601\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ010_R1601,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
10,BQ010,R1601,BQ010-R1,BQ010-R1 / R1601,Casual Walking Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Casual Walking Shoes Model R1601 Casual Walking Collection for Online Sellers,White Sole Black,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ010_R1601\01_主图\02_black.jpg,hero | differentiator | construction | use scene | color | order support,"importers, wholesalers and online sellers, use scenario, visible comfort structure, color collection",5,7,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ010_R1601\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ010_R1601,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
10,BQ010,R1601,BQ010-O1,BQ010-O1 / R1601,OEM ODM and private-label development,OEM shoes; private label footwear; custom logo shoe factory,OEM ODM Private Label Breathable Knit Casual Walking Shoes Model R1601 Factory Supply for Brand Buyers,White Sole Black,"clean studio background, distinct low three-quarter angle, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ010_R1601\01_主图\03_scene.jpg,hero | differentiator | construction | use scene | color | order support,"verified product construction, sample discussion, logo/color/packing development scope",5,7,0,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ010_R1601\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ010_R1601,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
11,BQ011,A002,BQ011-W1,BQ011-W1 / A002,Importer and wholesaler core sourcing,wholesale walking shoes; factory shoe supplier; bulk casual footwear,Wholesale Breathable Knit Casual Walking Shoes Model A002 for Importers and Wholesalers,Grey Green,"clean white background, three-quarter front view, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ011_A002\01_主图\01_main.jpg,hero | differentiator | construction | use scene | color | order support,"product overview, verified construction, size/color range, wholesale ordering",6,5,3,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ011_A002\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ011_A002,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
11,BQ011,A002,BQ011-R1,BQ011-R1 / A002,Casual Walking Collection,daily walking shoes; casual shoe collection; footwear for online sellers,Factory Direct Breathable Knit Casual Walking Shoes Model A002 Casual Walking Collection for Online Sellers,Grey Green,"light neutral background, distinct side-profile composition, one complete pair",E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ011_A002\01_主图\02_upper.jpg,hero | differentiator | construction | use scene | color | order support,"importers, wholesalers and online sellers, use scenario, visible comfort structure, color collection",6,5,3,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ011_A002\00_上架填写表.md,E:\贝强大文件\01_产品资产\02_可发布素材\00_最终上传\BQ011_A002,NEEDS_6_UNIQUE_MAIN_AND_4_UNIQUE_DETAIL,PENDING_ALIBABA_IMAGE_BANK,PENDING_IMAGE_URLS
